epoch,acc,loss,val_acc,val_loss
0,0.19222,2.13129134888,0.2691,1.94105223465
1,0.310700000019,1.83092163074,0.3687,1.68237353516
2,0.397480000019,1.62028166954,0.3898,1.68462413025
3,0.452519999981,1.48888275253,0.462,1.45898151245
4,0.491380000057,1.39539328899,0.4899,1.40974018478
5,0.527079999981,1.31112759525,0.5419,1.26433666744
6,0.555199999962,1.23616886715,0.5864,1.14381765747
7,0.581440000019,1.1705496381,0.5702,1.20038513203
8,0.602720000095,1.11420067883,0.6053,1.09041385193
9,0.621319999981,1.06402821709,0.6303,1.04574564075
10,0.640320000019,1.01881113302,0.6443,0.99897182169
11,0.64954,0.983627840538,0.6288,1.02464293823
12,0.66616,0.94330257122,0.6732,0.929737046432
13,0.677820000057,0.909829772072,0.6785,0.907038425636
14,0.688420000019,0.881597588654,0.6792,0.905494692612
15,0.699659999905,0.849964392509,0.7022,0.837682346344
16,0.711019999943,0.822028382912,0.6614,0.957274279022
17,0.720779999981,0.796953098774,0.7067,0.842379027939
18,0.729540000038,0.773560567818,0.7204,0.806305100822
19,0.737320000019,0.756420679607,0.7333,0.766504865265
20,0.744380000114,0.727811801414,0.7381,0.746477729607
21,0.75218,0.710080813675,0.7367,0.753845946598
22,0.759000000076,0.68616712925,0.7312,0.785417510891
23,0.767420000076,0.669422185478,0.762,0.684745495415
24,0.774259999981,0.64444637682,0.7794,0.643876888943
25,0.77896,0.632030304489,0.772,0.655184029007
26,0.785140000038,0.613526561317,0.7627,0.695632204628
27,0.788880000114,0.598309792652,0.7655,0.676325932407
28,0.797100000038,0.581564650078,0.7798,0.647466383266
29,0.801120000153,0.566737514305,0.7801,0.643226297188
30,0.806920000057,0.551661533585,0.7874,0.617678584003
31,0.8102,0.537499422455,0.7909,0.605455169868
32,0.818440000019,0.519966346912,0.7941,0.602828681374
33,0.821240000114,0.511630696726,0.7952,0.598311270332
34,0.825680000076,0.496681211605,0.8001,0.589331287575
35,0.830100000114,0.491206035271,0.7854,0.644225771141
36,0.835639999924,0.472991011314,0.7629,0.739942081833
37,0.837880000057,0.46332057291,0.7863,0.635066509056
38,0.842960000038,0.448847905941,0.7868,0.623865436745
39,0.845960000019,0.441875007401,0.8031,0.606560504627
40,0.850680000057,0.427641472998,0.8179,0.536274375916
41,0.852140000095,0.420441764269,0.8177,0.549060421658
42,0.854180000076,0.414183530083,0.8083,0.567191269016
43,0.857540000076,0.401761798801,0.8111,0.572895219994
44,0.862300000095,0.390643120975,0.8125,0.563482926941
45,0.863660000114,0.386839877234,0.824,0.536596141815
46,0.869820000095,0.370909710426,0.8031,0.604694664097
47,0.871120000095,0.368671612844,0.8116,0.577043219757
48,0.875120000114,0.357850803165,0.8109,0.564487751579
49,0.876580000019,0.350536006699,0.8336,0.502620115185
50,0.87836,0.344584867935,0.813,0.585679900265
51,0.88196,0.33601563199,0.8258,0.542416578484
52,0.884779999962,0.330449644098,0.8329,0.519348123169
53,0.885840000057,0.324656073647,0.8292,0.535031558037
54,0.888100000114,0.313404034748,0.8248,0.537525570965
55,0.889320000057,0.310662058592,0.8276,0.541346898842
56,0.893100000038,0.302574659119,0.8235,0.566177082634
57,0.895,0.297422976255,0.8252,0.524896103477
58,0.896780000057,0.291567576666,0.8093,0.643527395821
59,0.896680000076,0.289658433771,0.8241,0.574000142193
60,0.902620000038,0.279109471588,0.8363,0.530616929913
61,0.903100000038,0.275093660746,0.8345,0.510482457352
62,0.906200000019,0.265242309628,0.8382,0.523649890327
63,0.905159999962,0.266504932222,0.8262,0.576673217773
64,0.908660000057,0.258743035345,0.82,0.61335563736
65,0.909280000019,0.255208761058,0.837,0.548844149303
66,0.911880000038,0.24630248373,0.8406,0.540442553425
67,0.909759999981,0.250486809025,0.8399,0.540921702385
68,0.91514,0.238277514067,0.8394,0.521718425179
69,0.913819999981,0.236643576584,0.8323,0.580655040455
70,0.917579999943,0.232809237823,0.8388,0.547529988956
71,0.9173,0.226763689332,0.8424,0.516096942234
72,0.923679999962,0.21817955029,0.8415,0.538217618465
73,0.921360000038,0.219778611026,0.8325,0.58709133873
74,0.923720000038,0.216468230214,0.8412,0.538443874264
75,0.922480000038,0.215355768347,0.8413,0.537699513769
76,0.924880000038,0.206952296047,0.8351,0.55181286211
77,0.924979999962,0.209383884754,0.8354,0.541158885288
78,0.9291,0.200810420675,0.8444,0.508837709332
79,0.9292,0.195931013212,0.8307,0.591564720631
80,0.927060000038,0.20028298625,0.834,0.574178065395
81,0.931140000038,0.190523153181,0.8328,0.595861009359
82,0.933360000038,0.184813724685,0.8139,0.68001427269
83,0.931960000038,0.188711112003,0.8258,0.635442685223
84,0.93404,0.184298602014,0.838,0.556287426233
85,0.935260000076,0.177162364812,0.8235,0.666959608746
86,0.934919999962,0.178556836843,0.8361,0.612612533474
87,0.936679999962,0.176156202693,0.8421,0.54151996212
88,0.937700000038,0.174957477355,0.8447,0.560182533836
89,0.938440000057,0.171793591986,0.8337,0.59819135561
90,0.943199999981,0.162232412796,0.8428,0.559495291615
91,0.942200000038,0.164370627894,0.8378,0.585006046867
92,0.94068,0.164938876224,0.8408,0.575551889038
93,0.94138,0.163850741787,0.8367,0.587997498941
94,0.942999999981,0.158644422736,0.8504,0.54362829237
95,0.94406,0.155684123955,0.8384,0.631236213398
96,0.943719999981,0.156722755489,0.8424,0.578229545498
97,0.9443,0.152827940545,0.8447,0.564855481339
98,0.947019999981,0.149142384915,0.8459,0.583619372988
99,0.945440000019,0.151411179438,0.844,0.567875198793
100,0.947059999962,0.145400060606,0.8409,0.604134649372
101,0.949720000057,0.141246217422,0.8315,0.648363399792
102,0.948599999981,0.142163817606,0.8401,0.59453195343
103,0.949240000057,0.141021305976,0.8397,0.63647671299
104,0.94804,0.141660126152,0.8278,0.687351875687
105,0.949460000076,0.14000005085,0.8379,0.625303122807
106,0.950219999981,0.137280383415,0.8438,0.614656760311
107,0.949380000038,0.137629364204,0.8377,0.652468126297
108,0.951560000019,0.134232911968,0.8345,0.641467591953
109,0.952140000057,0.134604302673,0.844,0.61848033638
110,0.951820000019,0.131313361981,0.8447,0.58759946537
111,0.954519999962,0.127656519103,0.8474,0.587962184143
112,0.953740000019,0.126673109839,0.8496,0.60344819603
113,0.953759999943,0.128147002034,0.8411,0.659767147255
114,0.953620000019,0.128602609334,0.839,0.666765251541
115,0.956119999943,0.122663426032,0.8407,0.623552534485
116,0.957140000038,0.119471426914,0.8457,0.635494625235
117,0.955299999962,0.125510409031,0.8492,0.617126803112
118,0.957459999962,0.117793096704,0.8391,0.63221775589
119,0.958740000019,0.115282333241,0.8312,0.737116638947
120,0.95742,0.119436022967,0.8442,0.655078108406
121,0.9571,0.118007615423,0.8463,0.612344953156
122,0.957960000057,0.114225755877,0.841,0.640098605871
123,0.960060000038,0.111137081828,0.8379,0.666370725203
124,0.958999999981,0.115468720255,0.8485,0.609133669853
125,0.96058,0.109730568976,0.851,0.604368811512
126,0.960139999981,0.112845298038,0.8441,0.672057369423
127,0.961460000019,0.106388882463,0.8532,0.633164805222
128,0.960560000019,0.109462252645,0.8448,0.682172899532
129,0.961839999943,0.107256042805,0.848,0.671331003761
130,0.962779999981,0.105678358278,0.8439,0.642958548594
131,0.962059999962,0.10618476054,0.85,0.655777326202
132,0.963240000019,0.105096329117,0.8512,0.630986302853
133,0.961999999981,0.10664618113,0.8346,0.705909924364
134,0.963399999943,0.101696243198,0.8549,0.608285381699
135,0.963779999981,0.10102658067,0.8488,0.632748502731
136,0.963520000076,0.102424540434,0.8225,0.775972837925
137,0.964300000019,0.100632840978,0.8499,0.646068409157
138,0.963420000057,0.102389218249,0.8428,0.712535278702
139,0.964340000038,0.0994741682577,0.8504,0.627806144238
140,0.964759999962,0.0986089700913,0.8502,0.641730442142
141,0.964979999962,0.0985849836898,0.8488,0.660437751007
142,0.965860000019,0.0961447400045,0.8493,0.660637872124
143,0.965019999981,0.0973771207905,0.8437,0.712825374413
144,0.965459999943,0.0969787715292,0.8417,0.697837192249
